Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,8.897080,9.221820,8.897080,9.208480,4.645362,8904832
2000-01-05,8.990500,9.052780,8.879290,8.994060,4.537195,8158740
2000-01-06,9.012740,9.163990,9.012740,9.052780,4.566817,6800926
2000-01-07,9.079020,9.564360,9.075020,9.499860,4.792354,14800805
2000-01-10,9.519880,9.791240,9.408660,9.573260,4.829383,11259890
2000-01-11,9.480730,9.497630,9.235170,9.297450,4.690244,11425857
2000-01-12,9.119510,9.230720,9.052780,9.113720,4.597559,5851606
2000-01-13,8.877950,9.208480,8.870390,9.074130,4.577588,10436728
2000-01-14,9.075020,9.181790,8.923770,9.122620,4.602048,7414813
2000-01-17,9.106160,9.115060,8.941560,9.029200,4.554921,4798496
2000-01-18,8.897080,8.986050,8.879290,8.897080,4.488273,5772245
2000-01-19,8.897080,8.897080,8.679100,8.707570,4.392671,4528349
2000-01-20,8.901080,9.008290,8.857040,8.937560,4.508692,14689308
2000-01-21,8.853930,8.853930,8.647960,8.710690,4.394243,5043999
2000-01-24,8.678660,8.763620,8.607920,8.625720,4.351379,4447048
2000-01-25,8.455340,8.646630,8.452230,8.646630,4.361928,7143888
2000-01-26,8.646630,8.646630,8.646630,8.646630,4.361928,0
2000-01-27,8.567000,8.630170,8.465570,8.541200,4.308743,9965598
2000-01-28,8.496710,8.572340,8.407740,8.452230,4.263860,14889000
2000-01-31,8.325000,8.367700,8.220900,8.338790,4.206634,8029612
2000-02-01,8.373040,8.385500,8.207560,8.211110,4.142223,6450166
2000-02-02,8.207560,8.496710,8.207560,8.318770,4.196535,8673594
2000-02-03,8.332560,8.429980,8.083000,8.229800,4.151652,10044835
2000-02-04,8.229800,8.341010,8.140830,8.149720,4.111255,7546942
2000-02-07,8.099900,8.429980,8.096340,8.365030,4.219870,6357088
2000-02-08,8.318770,8.474470,8.318770,8.452230,4.263860,4974194
2000-02-09,8.452230,8.452230,8.140830,8.163070,4.117990,6627073
2000-02-10,8.051860,8.051860,7.784940,7.821870,3.945865,20658422
2000-02-11,7.862350,7.918400,7.784940,7.798290,3.933969,10493061
2000-02-14,7.742240,7.784940,7.593660,7.615900,3.841960,11358042
2000-02-15,7.654600,7.940640,7.647040,7.918400,3.994561,7183847
2000-02-16,8.055420,8.140830,7.544720,7.607000,3.837470,11013942
2000-02-17,7.699090,7.718220,7.522480,7.567410,3.817498,14839119
2000-02-18,7.473550,7.495790,7.273360,7.384580,3.725267,11516644
2000-02-21,7.282700,7.624800,7.282700,7.584760,3.826250,5109117
2000-02-22,7.623020,7.651490,7.362330,7.477110,3.771945,7618572
2000-02-23,7.495790,7.562520,7.273360,7.273360,3.669160,6980682
2000-02-24,7.295610,7.509140,7.295610,7.491340,3.779124,7368110
2000-02-25,7.551400,7.598110,7.340090,7.453530,3.760050,12872235
2000-02-28,7.451300,7.451300,7.086520,7.171050,3.617548,7110655
2000-02-29,7.242220,7.242220,7.046490,7.158590,3.611262,9200026
2000-03-01,7.157700,7.340090,7.139910,7.206630,3.635497,9922013
2000-03-02,7.228880,7.402370,7.228880,7.295610,3.680385,10997867
2000-03-03,7.455750,7.460200,7.273360,7.273360,3.669160,9676634
2000-03-06,7.456640,7.456640,7.022910,7.022910,3.542817,5711375
2000-03-07,6.975310,7.340090,6.939720,7.340090,3.702823,9932441
2000-03-08,7.340090,7.384580,7.126560,7.148800,3.606324,10029965
2000-03-09,7.188400,7.575860,7.162150,7.540270,3.803807,6455282
2000-03-10,7.607000,7.762700,7.607000,7.663940,3.866195,7401417
2000-03-13,7.591880,7.740460,7.566970,7.718220,3.893578,4274895
2000-03-14,7.651490,8.020720,7.651490,7.962890,4.017004,11566964
2000-03-15,7.945090,7.945090,7.695970,7.853450,3.961793,12706021
2000-03-16,7.927300,8.131930,7.927300,8.100790,4.086570,6504667
2000-03-17,8.229800,8.314320,7.962890,8.007370,4.039442,8800643
2000-03-20,7.962890,8.007370,7.784940,7.998920,4.035181,6279919
2000-03-21,7.902830,7.980680,7.829430,7.896160,3.983341,4062666
2000-03-22,7.882370,7.957550,7.816080,7.957550,4.014310,6965962
2000-03-23,7.851670,7.918400,7.807190,7.873920,3.972121,5346163
